Annotation-Level1,Text,Annotation-Level2
Threat,Anyone involved in a feminist movement today needs to have a penis put in their mouth and shoved up their ass youll get yours too,Sexist
Threat ,You better watch your back I'm gonna rape your ass at 8pm and put the video all over the internet lolol,Sexist
Threat,I am seriously gonna rape and kill you today at 8pm near your house are you ready to get fucked???,Sexist
Threat ,I am going to rape you you black bitch. ,Sexist
Threat ,Im gonna stick it up your ass and thats the last thing youll feel lol ,Sexist
Threat ,Bitches like you deserve to be raped ,Sexist
Threat ,Watch your back bitch we're coming for you,Sexist
Threat ,You should just be stuffed in an oven and burnt to death lmao ,Sexist
Threat ,Im gonna rape your black cunt,Sexist
Threat,Be ready Imma rape your mom your sis and you at the same time ,Sexist
Threat ,Hide ur kids I be raping all of em,Sexist
Threat ,When I rape you you aint gonna survive that shit ,Sexist
Threat ,I'll fuck you and your daughter you feminist cunt ,Sexist
Threat ,Stop breathing or ill make you ,Sexist
Threat ,I'll tie you up and make you drink bleach before I shove it into your pussy ,Sexist
Threat ,I will fucking come to your house tonight and rape you dry (srs) prepare your anus ,Sexist
Threat ,Gonna rape you so good your pussy will be destroyed ,Sexist
Threat ,Everybody get on the rape this bitch train ,Sexist
Threat ,Im gonna rape you you fucking whore ,Sexist
Threat ,I'll come to your house and stick a rod up your bent over ass bitch ,Sexist
Threat ,Your turn to get violated is coming now... get ready to enjoy,Sexist
Threat ,Get ready to sell yourself to the most hungry men and if you cant enjoy at least dont resist ,Sexist
Threat ,If you ever come to Europe I will rape you into oblivion,Sexist
Threat ,Honestly just kill yourself before someone kills you ,Sexist
Threat ,I'll be the guy that runs over you you attention whore,Sexist
Threat ,I will fucking rape you you fucking whore ,Sexist
Threat ,you attention whore just wait till I get my hands on you ,Sexist
Threat ,you stupid fucking cunt Im gonna rape you all the way uptil 2069,Sexist
Threat ,you wanna show me your tits or do you wanna get your ass fucked fucking attention whore ,Sexist
Threat ,you deserve all the death threats you're getting because I'm coming for you bitch ,Sexist
Threat ,nobody comes at call of duty like that. i'll quickscope you irl bitch ,Sexist
Threat ,kill yourself you piece of garbage before someone else does ,Sexist
Threat ,are you gonna kill yourself you fucking cunt or do you need someone to do it for you hmu ,Sexist
Threat ,I will hack your account and post your nudes everywhere ,Sexist
Threat ,bitch im gonna leave a load in you,Sexist
